variant,task,Accuracy_mean,Accuracy_std,MacroF1_mean,MacroF1_std,CohenKappa_mean,CohenKappa_std,WeightedKappa_mean,WeightedKappa_std
eeg_emg,hand_function,0.690136660724896,0.03253221170647124,0.6564814184036152,0.026477586127748358,0.6027901299625087,0.042405033764094185,0.7822261052687053,0.027362546213742425
eeg_emg,hand_tone,0.5995246583481878,0.15700784624746067,0.46401187562066104,0.18460680725532713,0.4889607137323382,0.20808192463661587,0.6390771622708695,0.1895233898953443
eeg_imu,hand_function,0.49910873440285214,0.09813639649554942,0.35985603716319003,0.09873422925197148,0.3415784263352489,0.13503434175339823,0.5523743810763302,0.1667875001666222
eeg_imu,hand_tone,0.4503862150920974,0.11120956743091784,0.3102023423112878,0.10869761290087382,0.3015623175695901,0.1409247177932266,0.5106931908209457,0.18957748651400352
eeg_only,hand_function,0.28966131907308373,0.04217297028278425,0.11264239028944904,0.0337382887536301,0.020540327210103366,0.059644292178958655,0.0007071440927174655,0.05706400236471439
eeg_only,hand_tone,0.1996434937611408,0.03087434594596929,0.055352055352055264,0.007049453836259166,0.0,0.0,0.0,0.0
emg_imu,hand_function,0.30986333927510396,0.011835165945954932,0.15356875093717193,0.05130463005192072,0.0595703865350418,0.05182321055734681,0.039058546888056364,0.03831463995377322
emg_imu,hand_tone,0.32976827094474154,0.025145696933450784,0.1503113845219108,0.013852523946226936,0.1107894672476214,0.017340598950840436,0.027150334725173364,0.03512947177400516
emg_only,hand_function,0.3502673796791444,0.03813742049079263,0.19938266526501813,0.08802044694650488,0.1280714371329258,0.11112890457828345,0.09931279095544217,0.08614556080650292
emg_only,hand_tone,0.25935828877005346,0.0717953025780618,0.09946986691172732,0.041761569805423775,0.035613228018401104,0.03164379798959805,0.018266574658504033,0.017086530351465935
imu_only,hand_function,0.319964349376114,0.015462880189748212,0.15695622895622893,0.05131321615094134,0.10740653712293026,0.09323134181087844,0.2200476241405465,0.19829378537001757
imu_only,hand_tone,0.3095662507427213,0.11251617792285047,0.1808506308506308,0.11226650306572002,0.16101678127246802,0.13946633936195546,0.26384054020047815,0.22938098673562138
tri,hand_function,0.7299499999999999,0.025025653504620715,0.691791471,0.0663250436273062,0.653510798,0.03589182465006268,0.814035567,0.015668918129390388
tri,hand_tone,0.800075,0.013069653145104247,0.774081543,0.009503230047050544,0.750821441,0.017136385642132018,0.86608854325,0.021950789359968418
