epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_5,val_tolerance_acc_10,is_best
1,25.7235192664946,9.131509679117624,9.488810188630048,12.968484252347148,0.7816444221953018,0.9292633413352505,0.8952435212713542,0.09488810188630048,-1.7315810848684872,23.459048570160423,-26.922210739897398,0.4117647058823529,0.6176470588235294,True
2,11.900130628335356,7.662420905600576,8.108016918687259,10.899264960853417,0.8457659463505279,0.9242223148554455,0.8886427888614318,0.0810801691868726,1.6724243234185612,22.7819949884965,-19.43714634165938,0.4411764705882353,0.7058823529411765,True
3,10.608926788484208,7.326449854233686,7.635803678456475,10.231437553121317,0.8640875729044403,0.942878470847495,0.9012302320617489,0.07635803678456475,-0.548401348731097,19.4763893046277,-20.573192002089893,0.47058823529411764,0.7941176470588235,True
4,10.54680879910787,7.642998798980432,7.982751117033117,11.49051417887402,0.8285787024025772,0.9314723577272358,0.8791254537587528,0.07982751117033117,-3.6195075932671044,17.755375805193818,-24.99439099172803,0.4411764705882353,0.7941176470588235,False
5,10.173028168172547,6.329193904601476,6.5589297273579765,9.215412520025964,0.8897406535588182,0.9484489128705346,0.9116685995937197,0.06558929727357976,-1.710043174379012,16.038466270402314,-19.45855261916034,0.5588235294117647,0.8529411764705882,True
6,9.16954446687843,6.860910858652171,7.36796335087103,10.349937430230444,0.8609210827821643,0.9476906366423687,0.886033196978439,0.07367963350871029,-4.55076224137755,13.668992073759073,-22.770516556514174,0.5882352941176471,0.8235294117647058,False
7,8.976200820219637,6.422802477636758,6.7480091066921455,8.20608744937976,0.9125704719951533,0.9633276988622594,0.9201113968622252,0.06748009106692146,3.289134179844576,18.024563248307004,-11.446294888617853,0.4117647058823529,0.7352941176470589,False
8,8.614208505129573,7.2008852943778034,7.444626397946301,10.70483845041181,0.851219474777061,0.943646046094434,0.9227209887452178,0.07444626397946301,-4.309095863033743,14.89742998965847,-23.515621715725956,0.5588235294117647,0.8529411764705882,False
9,8.520517738660176,6.879488973478403,7.154095737373128,11.556870064894932,0.8265931244258581,0.9120475524917084,0.8832700996905646,0.07154095737373128,-1.3824713054825277,21.106341739446393,-23.87128435041145,0.5,0.8235294117647058,False
10,8.498281310303042,10.419940367341042,10.587261524270563,15.556564611438793,0.6857948880958773,0.9176878504493108,0.8910134407885577,0.10587261524270562,-9.868404884548749,13.702278988238874,-33.43908875733637,0.4411764705882353,0.5882352941176471,False
11,8.068061698145337,6.589235691463246,6.853816214291489,11.035140979022266,0.8418964491179626,0.9289337223747287,0.8950900158664723,0.06853816214291489,-3.55219713423182,16.925463392436967,-24.02985766090061,0.5882352941176471,0.8529411764705882,False
12,7.41357918472001,6.622477742963854,6.460485086940667,12.408429438005365,0.8000969211640968,0.8994538638542174,0.9081085037519163,0.06460485086940668,-1.4963877829996979,22.6466392774086,-25.639414843407994,0.6176470588235294,0.7941176470588235,False
13,8.307378413460471,6.961895997953765,7.242885861326666,12.058110179007997,0.8112250569379402,0.9028775122037888,0.9124361266181292,0.07242885861326666,0.24471589221673853,23.873744231649884,-23.384312447216406,0.5,0.7941176470588235,False
14,7.002833577840015,6.7722394505953964,6.6033153696917,13.067109564211151,0.7783106054072373,0.8968251076009025,0.9031948290613413,0.066033153696917,-4.473629724809571,19.59018911312571,-28.53744856274485,0.6470588235294118,0.7941176470588235,False
15,6.7151531843223955,7.271870680391679,7.5627499100039985,11.974169657730911,0.8138441593861282,0.9029029825579775,0.8957724719161329,0.07562749910003999,1.0336392258896547,24.415406542898854,-22.348128091119545,0.47058823529411764,0.7647058823529411,False
16,6.30886324198559,6.482592458760037,6.517300062319812,12.559916559818285,0.7951861314168616,0.8944884940258686,0.9044538455642694,0.06517300062319813,-1.6110965609550476,22.80297309858231,-26.025166220492405,0.6176470588235294,0.8235294117647058,False
17,6.643664483831387,6.739838520481306,6.91925482232781,12.447293999018555,0.7988427233866123,0.8983151627231987,0.907063437447262,0.0691925482232781,-2.423643883098574,21.506108270083093,-26.35339603628024,0.5588235294117647,0.8235294117647058,False
18,6.531922977500492,8.898158903419972,9.007704338606667,15.14566294313568,0.7021741241917077,0.890728956998465,0.8959537714004768,0.09007704338606666,-8.288587314241072,16.557103293101903,-33.13427792158405,0.5,0.6764705882352942,False
19,6.659492990705702,7.221083228202427,7.223572028033874,13.565928512640806,0.7610621780197138,0.8927202042176835,0.9094470272105182,0.07223572028033874,-5.184413788949742,19.386535055574548,-29.755362633474036,0.5882352941176471,0.7352941176470589,False
20,6.1563096383003275,6.247347156330943,6.340009307598367,11.498744438678832,0.82833304810686,0.9135975622248803,0.9132036536425389,0.06340009307598367,-2.2056281457052513,19.913415012100916,-24.32467130351142,0.5882352941176471,0.8529411764705882,True
21,6.071733589244611,7.355562575402505,7.663592534906724,12.747637957792707,0.7890180540409258,0.8884053116663317,0.8930091635194763,0.07663592534906724,0.14872604257920208,25.132395906404604,-24.8349438212462,0.47058823529411764,0.7647058823529411,False
22,6.128245022320988,7.21813520407852,7.282811291954097,12.7952856902325,0.7874379026607535,0.8891973964712078,0.8998430423713251,0.07282811291954097,-0.8328198816846398,24.192761219304124,-25.858400982673402,0.47058823529411764,0.8235294117647058,False
23,5.700563124454383,8.726056852060205,8.270405229400186,14.837566531296202,0.7141677612195549,0.8908795212490728,0.9130428986077258,0.08270405229400186,-7.8237366045222565,16.88645579291547,-32.53392900195998,0.5588235294117647,0.7352941176470589,False
24,5.983829528635199,8.020057431389304,7.649145418230225,14.642313709938115,0.7216410004549112,0.8805232310300226,0.8828905399585175,0.07649145418230226,-6.401022191433346,19.410344666127127,-32.21238904899382,0.6176470588235294,0.6764705882352942,False
25,5.536758590707875,6.854575208004783,6.927643122041927,12.479189528011089,0.7978104929113068,0.8956476365406322,0.9019195095866473,0.06927643122041927,-1.1110323825303245,23.25104843988543,-25.47311320494608,0.5588235294117647,0.8235294117647058,False
26,5.52919290860494,7.524369022710358,7.658929340103093,13.353563662514356,0.7684844241266522,0.8767065894812645,0.8859969676443283,0.07658929340103093,-0.31581000107176166,25.849854266542607,-26.481474268686128,0.5,0.7647058823529411,False
27,5.321547187097145,8.614172678922905,8.780461191254503,15.688946579712235,0.6804245414372289,0.8702531229586238,0.8866213609013208,0.08780461191254503,-7.6828483474605225,19.12812383658146,-34.49382053150251,0.5588235294117647,0.6470588235294118,False
28,5.28015235107806,7.497836756089237,7.602964264943319,12.97427293669492,0.7814494458831889,0.8843672080869812,0.8912177470030643,0.07602964264943318,0.5933868784238311,25.996351752511515,-24.80957799566385,0.5294117647058824,0.7941176470588235,False
29,5.226612487706271,7.549261705665027,7.939484729486353,13.173286471386897,0.7746932905820907,0.8812146075279517,0.8808140132124537,0.07939484729486353,-0.9825655923170202,24.765154126367552,-26.73028531100159,0.47058823529411764,0.8823529411764706,False
30,4.866521712746283,7.1427357154734,7.251811028403394,14.463444927407034,0.7284002631724396,0.8629728572963129,0.880010520166319,0.07251811028403395,-3.1705005580888077,24.48836814113855,-30.829369257316166,0.6470588235294118,0.7941176470588235,False
31,5.207111622588803,7.190018737568137,7.264003695810542,14.153168964183125,0.7399282170074832,0.8793192276755903,0.888403649525049,0.07264003695810542,-5.04405038672335,20.874661419760077,-30.962762193206775,0.5882352941176471,0.7941176470588235,False
32,4.9136694840710575,7.997294928221142,7.919824635281282,14.569104017400123,0.7244175605038372,0.875978001342548,0.8885657313683133,0.07919824635281282,-5.7426505018683045,20.500919308865964,-31.986220312602573,0.5588235294117647,0.7058823529411765,False
33,4.87640635100278,7.363459453863256,7.501226628527922,13.40119251080888,0.7668299616196869,0.878687502310914,0.9003832815001431,0.07501226628527922,-0.22762892526738784,26.034919009850377,-26.490176860385155,0.5,0.8529411764705882,False
34,4.71156583169494,7.707021106790532,7.933476013295791,12.716446868706502,0.7900492577435316,0.8905641532948927,0.8980066185592288,0.07933476013295791,0.9699472118826473,25.82157422705515,-23.881679803289856,0.47058823529411764,0.7058823529411765,False
35,4.999270521631145,7.548504464196808,7.890024397303076,12.839046741190689,0.7859814525674229,0.8865902074831817,0.8868007240028486,0.07890024397303076,0.0442224548143499,25.208604794886156,-25.120159885257458,0.4411764705882353,0.7941176470588235,False
36,4.929257456943242,8.538853348002714,8.891210826004253,14.247470279593632,0.736451000615139,0.8667988761389726,0.8851121645491475,0.08891210826004253,2.7823610761586357,30.169731940253925,-24.605009787936652,0.5,0.6470588235294118,False
37,4.669067030362409,8.06851671197835,7.6475074571721695,14.092539324419024,0.7421516462319693,0.8699304532718508,0.8883065486717506,0.0764750745717217,-3.1742740378660312,23.737293173628018,-30.08584124936008,0.5588235294117647,0.7941176470588235,False
38,4.884252325573353,6.922010134029038,7.188497091040892,12.556671473733244,0.7952919526253023,0.8928280173323695,0.8998486834178118,0.07188497091040892,-1.014130455606124,23.516546911047612,-25.544807822259862,0.5,0.8235294117647058,False
39,4.481893034896466,7.691140835688395,7.693636554128983,13.054632150582187,0.7787337731505917,0.8859279917551022,0.8935396826007417,0.07693636554128984,-1.5168260721599354,23.896949872974883,-26.930602017294756,0.5294117647058824,0.7058823529411765,False
40,4.511610100967715,7.881436544218484,7.719968213754542,14.363479185215136,0.7321416735957297,0.8720183311310215,0.8794845988287792,0.07719968213754541,-4.581792614039252,22.099899161446086,-31.26348438952459,0.5588235294117647,0.7352941176470589,False
